similarity,sentence1,sentence2
1,man white tshirt takes picture middle street two public buses background,man taking photos tour nyc
1,shirtless man singing microphone woman next plays accordion,polish
0,shirtless man singing microphone woman next plays accordion,playing saxophone
2,shirtless man singing microphone woman next plays accordion,man singing microphone
1,women children sitting outside shade group younger children sitting inside shade,sunny outside
2,women children sitting outside shade group younger children sitting inside shade,woman kids sitting
0,women children sitting outside shade group younger children sitting inside shade,woman running
0,pregnant lady singing stage holding flag behind,woman sick bed
2,pregnant lady singing stage holding flag behind,woman making music
1,pregnant lady singing stage holding flag behind,lady participating talent show
2,two farmers working piece john deere equipment,men working john deere equipment
2,two farmers working piece john deere equipment,john deere equipment worked two farmers
0,two farmers working piece john deere equipment,2 men making pool together
1,little boy blue shirt holding toy,boy dressed blue carrying toy toybox
0,little boy blue shirt holding toy,boy dressed red lighting things fire
2,little boy blue shirt holding toy,boy dressed blue holds toy
1,woman writing something postit note hanging bulletin board lot postit notes,woman writing grocery list
0,woman writing something postit note hanging bulletin board lot postit notes,woman talking phone
2,woman writing something postit note hanging bulletin board lot postit notes,woman writing note
2,baby end slip slide party,baby wet
0,baby end slip slide party,man end slip slide
2,baby end slip slide party,party
1,girl swings high air,girl gaining momentum flip swing
0,girl swings high air,girl laying pool
2,girl swings high air,girl swing
1,view back woman beverage,woman drinks beer
0,view back woman beverage,woman dumps drink man
2,view back woman beverage,woman drink
2,lady sitting bench building poster man uniform waving,person sitting
1,lady sitting bench building poster man uniform waving,tall person sitting
0,lady sitting bench building poster man uniform waving,nobody sitting
1,man shopping cart studying shelves supermarket aisle,man trying pick cereal choose
0,man shopping cart studying shelves supermarket aisle,man watching movie theater
2,man shopping cart studying shelves supermarket aisle,man inside supermarket
2,man wearing sunglasses sitting steps outside reading magazine,man sitting
1,man wearing sunglasses sitting steps outside reading magazine,man reading tips better boy friend
0,man wearing sunglasses sitting steps outside reading magazine,man reading spoon words help
0,woman sitting outside weaving long piece red white blue cloth,jumping house
2,woman sitting outside weaving long piece red white blue cloth,working cloth
1,woman sitting outside weaving long piece red white blue cloth,weaving american flag
2,person powerwashing stairs leading pool,person washes stairs
2,person powerwashing stairs leading pool,worker cleans near pool
0,person powerwashing stairs leading pool,dog chases cat
0,person rides bicycle sand beside ocean,person falling bike
0,person rides bicycle sand beside ocean,person boat
2,person rides bicycle sand beside ocean,person beach
2,two black little boys hanging upside bicycle one examining pedal,children looking bike
1,two black little boys hanging upside bicycle one examining pedal,children outside
0,two black little boys hanging upside bicycle one examining pedal,someone riding bike
1,brown dog black dog edge ocean wave boats water background,dogs catch fish
0,brown dog black dog edge ocean wave boats water background,pets sleeping grass
2,brown dog black dog edge ocean wave boats water background,dogs swimming among boats
2,group people prepare hot air balloons takeoff,group people outside
0,group people prepare hot air balloons takeoff,group people prepare cars racing
1,group people prepare hot air balloons takeoff,hot air balloons ground air
2,men stand steps leading body water,men standing steps near water
0,men stand steps leading body water,men sitting outside near golf course
1,men stand steps leading body water,men standing docked boat
1,group young people instruments stage,people performing band crowd
0,group young people instruments stage,young people playing water polo
1,group young people instruments stage,people playing music
2,longbeaked bird midflight,bird flying
0,longbeaked bird midflight,rat running wheel
1,longbeaked bird midflight,bird chasing insect
1,young boy black hair holding onto gun secured vehicle driven young man wearing bright pink shirt,boy outside running cops
1,young boy black hair holding onto gun secured vehicle driven young man wearing bright pink shirt,young boy completing heist
1,young boy black hair holding onto gun secured vehicle driven young man wearing bright pink shirt,bank robbed
1,man middle east cornonthecob cart selling corn,old middle eastern man selling cornonthecob brothers cart
2,man middle east cornonthecob cart selling corn,middle east man sells cornonthecob cart
0,man middle east cornonthecob cart selling corn,middle east man throwing corn strangers
2,man black shirt playing guitar,playing song
0,man black shirt playing guitar,man wearing blue shirt
2,man black shirt playing guitar,man wearing black
0,colorfully dressed people walk center road onlookers behind barricade,group people motorcade driving past audience
2,colorfully dressed people walk center road onlookers behind barricade,group people walking road
1,colorfully dressed people walk center road onlookers behind barricade,group people walking past group civilian spectators
0,woman talking phone standing next dog,woman sleeping
1,woman talking phone standing next dog,woman walking dog
2,woman talking phone standing next dog,woman phone
1,three young boys one holding camera another holding green toy wearing tshirt smiling,boys wearing yellow
1,three young boys one holding camera another holding green toy wearing tshirt smiling,boy crouching take picture
2,three young boys one holding camera another holding green toy wearing tshirt smiling,young boy camera
0,5 women sitting around table crafts,five men stand chairs
2,5 women sitting around table crafts,five women sit table
1,5 women sitting around table crafts,five friends sit table
1,street performer bowler hat high boots performs outside,man performing magic act
2,street performer bowler hat high boots performs outside,person performing
0,street performer bowler hat high boots performs outside,child dancing inside
1,young boy playing grass,boy playing make believe
2,young boy playing grass,child grass
0,young boy playing grass,boy sand
1,two men playing baseball one black red jersey running toward base,man black red score winning run
2,two men playing baseball one black red jersey running toward base,baseball game going
0,two men playing baseball one black red jersey running toward base,man black red sitting bleachers
1,man woman looking produce display,man women staring heads lettuce
0,man woman looking produce display,two men throw produce fun
2,man woman looking produce display,man woman looking produce
0,people throwing tomatoes,people sitting eating food
1,people throwing tomatoes,men covered tomatoes
2,people throwing tomatoes,people food fight
2,people standing line beer curry line,people standing line
1,people standing line beer curry line,people happily standing line
0,people standing line beer curry line,people standing line
0,man woman talking park,man woman talking aquarium
1,man woman talking park,couple discuss financial future park
2,man woman talking park,pair people talking outdoors
0,small ice cream stand two people standing near,two people selling ice cream car
2,small ice cream stand two people standing near,two people standing outside ice cream stand
1,small ice cream stand two people standing near,two people line buy icecream
0,number 916 hoping going win race,person playing baseball
1,number 916 hoping going win race,person betting win race
2,number 916 hoping going win race,person competing race
0,girl plays colorful letters floor,girl playing video game bath
1,girl plays colorful letters floor,girl spelling favorite words colored letters
2,girl plays colorful letters floor,girl fun learning letters
2,two men cooking food together corner street,men making something eat
1,two men cooking food together corner street,two men cooking food block party
0,two men cooking food together corner street,two men running race
0,man wandering desert clouds roll,man fights dead mummys magically came alive desert
2,man wandering desert clouds roll,man wonders desert
1,man wandering desert clouds roll,man camel wonder desert
0,lady bright orange hair walking crowd,woman asleep
2,lady bright orange hair walking crowd,woman near group people
0,lady bright orange hair walking crowd,street performer entertaining tourists
1,whitehaired man mustache glasses business suit stands outside podium marked seal us house representatives surrounded many people columned building behind,man getting ready speak
0,whitehaired man mustache glasses business suit stands outside podium marked seal us house representatives surrounded many people columned building behind,man sitting chair inside
0,man running marathon talks friend,people canoeing river
2,man running marathon talks friend,man running
1,man running marathon talks friend,man friend running marathon together
0,lot people walking outside row shops older man hands pocket closer camera,lot dogs barking outside row shops cat teasing
2,lot people walking outside row shops older man hands pocket closer camera,lot people walking outside row shops man hands pockets
1,lot people walking outside row shops older man hands pocket closer camera,people looking shops stuff buy
0,barefooted adolescent boy yellow shirt reaching top small skateboarding ramp,boy flying helicopter
1,barefooted adolescent boy yellow shirt reaching top small skateboarding ramp,boy five
2,barefooted adolescent boy yellow shirt reaching top small skateboarding ramp,boy barefooted
0,man waterskies life jacket,hitler rides jetski kawasaki advertisement
1,man waterskies life jacket,lifeguard races across water
1,man waterskies life jacket,man enjoying ocean
0,group children enjoy time beach,group adults swimming beach
1,group children enjoy time beach,children swimming beach
2,group children enjoy time beach,children beach
1,group people sit benches park outside building,people sit together
1,group people sit benches park outside building,people wait bus come
2,small baby possibly newborn bathed person blue scrubs wearing protective gloves,someone helping bathe small baby
1,small baby possibly newborn bathed person blue scrubs wearing protective gloves,person bathing small baby mother
0,small baby possibly newborn bathed person blue scrubs wearing protective gloves,small baby crib sound asleep
2,asian woman sitting outside outdoor market stall,woman sits outdoors
1,asian woman sitting outside outdoor market stall,woman selling stuff flea market
0,asian woman sitting outside outdoor market stall,woman sitting indoor market
0,older gentleman enjoys scenic stroll countryside,pirate boards spaceship
1,older gentleman enjoys scenic stroll countryside,old man searches good place die
2,older gentleman enjoys scenic stroll countryside,man walks countryside
2,middleaged man sitting indian style outside holding folded paper hands,middle aged man outdoors
1,middleaged man sitting indian style outside holding folded paper hands,middle aged man showing origami creation
0,middleaged man sitting indian style outside holding folded paper hands,middle aged man sitting stool bar
0,number 13 kicks soccer ball towards goal childrens soccer game,player passing ball soccer game
2,number 13 kicks soccer ball towards goal childrens soccer game,player trying score soccer game
0,number 13 kicks soccer ball towards goal childrens soccer game,player fighting soccer game
1,nun uses camera take photo interesting site,nun using camera take pictures various things outdoors
1,nun uses camera take photo interesting site,nun taking photos interesting site outside
0,nun uses camera take photo interesting site,nun knees praying statue
0,man sits chair sidewalk front huge display brightly colored artwork,man watching tv
2,man sits chair sidewalk front huge display brightly colored artwork,man sits chair sidewalk front huge display brightly colored artwork
1,man sits chair sidewalk front huge display brightly colored artwork,man selling artwork
1,young child jumping arms woman wearing black swimming suit pool,mother catching son pool
0,young child jumping arms woman wearing black swimming suit pool,mother daughter shopping shoes
2,young child jumping arms woman wearing black swimming suit pool,child leaping arms woman wearing swimsuit pool
0,guy waxing wooden floor wax,guy dead
2,guy waxing wooden floor wax,guy waxing
1,guy waxing wooden floor wax,guy paid
2,image two asian men squatting near moppad,picture two asian men
2,image two asian men squatting near moppad,two young asian men squatting
0,image two asian men squatting near moppad,two italian girls squatting
1,man uses projector give presentation,man giving presentation front large crowd
0,man uses projector give presentation,man using projector watch television
2,man uses projector give presentation,man giving presentation
0,older gentleman speaking podium,little girl spelling bee
1,older gentleman speaking podium,man giving speech
1,older gentleman speaking podium,college dean giving graduation speech
0,young barefoot girl pink dress jumping outside,child sits dark room watching television
1,young barefoot girl pink dress jumping outside,little girl playing jump rope
2,young barefoot girl pink dress jumping outside,child playing
1,four guys guns army gear,four guys army
2,four guys guns army gear,guys guns
0,four guys guns army gear,four guys playing hopscotch
2,man safety suit walking outside another man dark suit walks building,two men walking outside
2,man safety suit walking outside another man dark suit walks building,men walking different directions
0,man safety suit walking outside another man dark suit walks building,men sitting park
1,man poses photo front chinese building jumping,man experience taking photos
0,man poses photo front chinese building jumping,man dancing around building
2,man poses photo front chinese building jumping,man prepared photo
2,couple bows head man decorative robe reads scroll asia black late model station wagon background,black late model station wagon background
0,couple bows head man decorative robe reads scroll asia black late model station wagon background,white late model station wagon background
2,couple bows head man decorative robe reads scroll asia black late model station wagon background,light black late model station wagon background
0,boy looks surly father looks camera,girl looks father
2,boy looks surly father looks camera,boy looks farther
1,boy looks surly father looks camera,younger boy looks father
1,boy red slides inflatable ride,boy rolls around inflatable ride
2,boy red slides inflatable ride,boy playing inflatable ride
0,boy red slides inflatable ride,boy pierces knife inflatable ride
2,man reading newspaper car dealership,man car dealership
1,man reading newspaper car dealership,man waiting car serviced
0,man reading newspaper car dealership,man reading magazine hospital
1,two male police officers patrol wearing normal gear bright green reflective shirts,two officers gotten call fight
0,two male police officers patrol wearing normal gear bright green reflective shirts,officers shot unarmed black man go prison
1,carefully balanced male stands one foot near clean ocean beach area,man stands one foot wife near beach
2,carefully balanced male stands one foot near clean ocean beach area,man ouside near beach
0,carefully balanced male stands one foot near clean ocean beach area,man sitting couch
2,man wearing white shirt playing drums,man playing musical instrument
0,man wearing white shirt playing drums,man playing trumpet hands tied behind back
1,man wearing white shirt playing drums,man band playing drums
2,three women dress suits walk building,three women traveling foot
1,three women dress suits walk building,suits gray
0,three women dress suits walk building,woman wearing bikinis
2,two people waiting train station,expect train arrive eventually
0,two people waiting train station,waiting bus
1,two people waiting train station,get onto train together
2,man black shirt smiling woman black shirt tattoo eye brow ring,man smiling woman
1,man black shirt smiling woman black shirt tattoo eye brow ring,man smiling wife
0,man black shirt smiling woman black shirt tattoo eye brow ring,man reading book alone
2,goalie white runs approaching ball opponent red kicked waits,person wearing white running towards ball kicked another person
1,goalie white runs approaching ball opponent red kicked waits,goalie running catch ball passes goal
0,goalie white runs approaching ball opponent red kicked waits,goalie sleeping home
0,two men sitting subway reading coats scarves seemed lost pants,women subway
2,two men sitting subway reading coats scarves seemed lost pants,people subway
0,two men sitting subway reading coats scarves seemed lost pants,men wearing pants
1,kids drawing something paper,kids drawing pictures animals
2,kids drawing something paper,kids drawing
0,kids drawing something paper,kids cutting ribbons
0,young woman singing microphone,woman playing trumpet
1,young woman singing microphone,woman band
2,young woman singing microphone,woman singing
1,three elephants carrying group people walking water,elephants part jungle tour
0,three elephants carrying group people walking water,elephants performing circus tent
2,three elephants carrying group people walking water,three elephants carry people water
1,diver swimming turtle,sick turtle swimming diver
0,diver swimming turtle,lion eating raw meat zoo
2,diver swimming turtle,turtle diver swimming
2,man beard skateboarding boy blue black backpack riding green bike background,man boy outside
0,man beard skateboarding boy blue black backpack riding green bike background,kid skateboarding bearded man bike
1,man beard skateboarding boy blue black backpack riding green bike background,man gray beard skateboarding
1,young boy reaches touches propeller vintage aircraft,young boy friend admire vintage aircraft
0,young boy reaches touches propeller vintage aircraft,young boy swims pool
2,young boy reaches touches propeller vintage aircraft,young boy airplane
2,indian people dressed magnificent bright colors conduct ritual,indian people ritual
1,indian people dressed magnificent bright colors conduct ritual,indian people ritual birthday celebration
0,indian people dressed magnificent bright colors conduct ritual,indian people hunting animals
2,two little girls ride inflatable dinghy purple water slide,two girls water slide
1,two little girls ride inflatable dinghy purple water slide,sisters squeal delight go slide
0,two little girls ride inflatable dinghy purple water slide,barney fife one bullet
1,restaurant front line warmer front person red coca cola shirt cooking,person cooking hamburger
2,restaurant front line warmer front person red coca cola shirt cooking,person wearing coca cola shirt
0,woman walks brick building thats covered graffiti,woman bathroom
1,woman walks brick building thats covered graffiti,womans son drew graffiti
2,woman walks brick building thats covered graffiti,woman outside
0,two men electronics workshop working computers equipment,men unaware computers
1,two men electronics workshop working computers equipment,two men electronics enthusiasts
1,two men electronics workshop working computers equipment,men experts comes electronics
2,young girl dark hair facing camera holding paper bag wearing orange shirt multicolored butterfly wings,young girl faces camera
0,young girl dark hair facing camera holding paper bag wearing orange shirt multicolored butterfly wings,old woman refuses picture taken
1,young girl dark hair facing camera holding paper bag wearing orange shirt multicolored butterfly wings,young girl faces camera holding lunch bag
1,boy overalls blows bubbles,boy overalls playing bubbles outside
2,boy overalls blows bubbles,boy blowing bubbles
0,boy overalls blows bubbles,man juggling park
1,two children playing floor toy trains,children played floor new christmas toys
2,two children playing floor toy trains,children played floor
0,two children playing floor toy trains,girls slept floor next toys
2,three men science lab watch one hold burning object one man side reaching ground,three men laboratory scientific study
0,three men science lab watch one hold burning object one man side reaching ground,three men fishing boat trying catch bass
1,three men science lab watch one hold burning object one man side reaching ground,men science lab performing science experiment fruit flies
2,white dog chasing stuffed animal pulled string,animal running
1,white dog chasing stuffed animal pulled string,animal puppy
0,white dog chasing stuffed animal pulled string,animal sleeping
2,two female workers sit steps work,two friends sitting step job
2,two female workers sit steps work,two women sitting steps job
0,two female workers sit steps work,two women sitting workplace desks
0,man blue shirt jumping hill park,man sleeping
2,man blue shirt jumping hill park,man park
2,man blue shirt jumping hill park,man wearing blue
2,two boys stand ocean sun sets,boys standing
1,two boys stand ocean sun sets,ocean calm
1,two boys stand ocean sun sets,boys surfing
1,group yoga class exercising,group people holding various positions period time
0,group yoga class exercising,yoga group eating chips fries
1,group yoga class exercising,half yoga group female
2,four girls dancing matching outfits street festival,four girls attending street festival
1,four girls dancing matching outfits street festival,four girls dancing along song playing loud speaker
0,four girls dancing matching outfits street festival,four girls playing card games table
2,small group children standing classroom one foot trashcan also rope leading,child foot garbage near kids classroom
1,small group children standing classroom one foot trashcan also rope leading,kids classroom play game trashcan
0,small group children standing classroom one foot trashcan also rope leading,man looks watch bus stop
0,several children standing plates full food shelter watching man purple shirt serving good,children outside playing soccer
0,child looking door,child asleep
1,child looking door,door open
2,child looking door,door
2,boy baseball cap jumps flight stairs,boy jumping air
0,boy baseball cap jumps flight stairs,guy swimming pool
1,boy baseball cap jumps flight stairs,guy inside
1,man sitting side street brass pots,man playing brass pots
2,man sitting side street brass pots,man sitting
0,man sitting side street brass pots,man brass pots
1,man blue windbreaker jacket laying face park bench liquor bottle nestled one benchs legs,black man passed park bench drinking
2,man blue windbreaker jacket laying face park bench liquor bottle nestled one benchs legs,man lays face park bench
0,man blue windbreaker jacket laying face park bench liquor bottle nestled one benchs legs,man dancing club popping bottles
0,woman using clothespins hang laundry outside laundry line,woman folding washed laundry
1,woman using clothespins hang laundry outside laundry line,woman hanging laundry sun
2,woman using clothespins hang laundry outside laundry line,woman taking care laundry
2,dog reaches catch ball mouth,dog playing ball
1,dog reaches catch ball mouth,dog brown
0,dog reaches catch ball mouth,dog playing rope
0,young boy sitting green tunnel,girl sitting
1,young boy sitting green tunnel,boy wearing green shirt
2,young boy sitting green tunnel,boy sitting
0,little boy jumping puddle street,boy walking across field dog
1,little boy jumping puddle street,boy getting dirty plays muddy puddles
2,little boy jumping puddle street,boy outside
2,four young men sit floor close television showing elmo sesame street,four males sitting indoors
0,four young men sit floor close television showing elmo sesame street,four males playing yard
1,four young men sit floor close television showing elmo sesame street,four males sitting indoors raining
0,dinner decisions crew,crew ate lunch alone
1,dinner decisions crew,crew celebrating birthday
2,dinner decisions crew,crew dinner
0,woman wearing white donkey costume talking man,woman dancing near fire
1,woman wearing white donkey costume talking man,woman wearing halloween costume
2,woman wearing white donkey costume talking man,woman wearing strange clothing
1,boy girl jackets gaze clothing store window,two kids looking something purchase mothers day
0,boy girl jackets gaze clothing store window,two kids flying hovercraft
2,boy girl jackets gaze clothing store window,two kids looking store window
2,people dressed costumes walking street,humans wearing clothes street
0,people dressed costumes walking street,naked man walking street
1,people dressed costumes walking street,people dressed costumes preparing rob house
0,person blue plaid shirt writing chalkboard,person reading book
1,person blue plaid shirt writing chalkboard,person wearing blue jeans
2,person blue plaid shirt writing chalkboard,person writing chalk board
0,mother daughter granddaughter car trouble poor little girl looks hot heat,family driving safe sound little girl asleep
2,mother daughter granddaughter car trouble poor little girl looks hot heat,car belongs family issues
1,mother daughter granddaughter car trouble poor little girl looks hot heat,mother daughter granddaughter middle day
0,large group people gathered outside brick building lit spotlights,building made logs
2,large group people gathered outside brick building lit spotlights,building brick
1,large group people gathered outside brick building lit spotlights,people going concert
2,man plays french horn pianist plays supporting melody stage,two people playing instruments stage
0,man plays french horn pianist plays supporting melody stage,three guys playing bongos stage
1,man plays french horn pianist plays supporting melody stage,man pianist performing final tribute zelda
2,man white towel wrapped around lower part face neck,man covering neck
0,man white towel wrapped around lower part face neck,towel pink blue striped
1,man white towel wrapped around lower part face neck,doesnt want hair land neck
1,man walking tall buildings reflections behind,man walking meet friend
0,man walking tall buildings reflections behind,man running park
2,man walking tall buildings reflections behind,man walking
0,woman holds child red window next color tv sign,tv holds woman holds child
2,excited children pass parents way parking lot,children go past parents
2,excited children pass parents way parking lot,children run past parents
0,excited children pass parents way parking lot,children watching tv home
2,two boys holding red kites water background,persons involved outdoor recreation
0,two boys holding red kites water background,two boys watching television
1,two boys holding red kites water background,ocean behind couple fly red kites
2,dog herding cows,animals near
1,dog herding cows,dogs trying get cows inside barn
0,dog herding cows,cats sleeping inside room
2,men women walking sidewalk next garden,walking garden
0,men women walking sidewalk next garden,men women running forest
1,men women walking sidewalk next garden,admiring beautiful flowers garden
1,man swimming inside pool,person water playing
0,man swimming inside pool,person drowning
2,man swimming inside pool,man pool
0,little girl sitting seat,standing seat
1,little girl sitting seat,chair
2,hispanic fruit market many different fruits vegetables view city street man passing store dressed dark pants hoodie,fruit market selling vegetables
2,hispanic fruit market many different fruits vegetables view city street man passing store dressed dark pants hoodie,fruit market man
0,hispanic fruit market many different fruits vegetables view city street man passing store dressed dark pants hoodie,fish market docks
0,black brown dog walks shallows large body water,dog wearing clown suit
2,black brown dog walks shallows large body water,dog water
1,black brown dog walks shallows large body water,dog owner
0,man jumping sideways ocean,man sits hotel lobby
2,man jumping sideways ocean,man jumps ocean
1,man jumping sideways ocean,man enjoying vacation beach resort decides take swim ocean
2,woman bright red umbrella jumping high air knit hat black shirt colorful boots,woman black jumping air red umbrella
0,woman bright red umbrella jumping high air knit hat black shirt colorful boots,woman black high heels walking large staircase
1,woman bright red umbrella jumping high air knit hat black shirt colorful boots,woman colorful boots jumping large puddle street
2,teenage girl winter clothes slides decline red sled,girl sled
2,teenage girl winter clothes slides decline red sled,girl sliding red sled
0,teenage girl winter clothes slides decline red sled,girl beach blue sled
0,three men blue jerseys try score goal soccer team white jerseys goalie green,men jerseys bar watching soccer match
1,three men blue jerseys try score goal soccer team white jerseys goalie green,goalie one best hard men team score
2,three men blue jerseys try score goal soccer team white jerseys goalie green,men playing soccer
1,dog leaps air grassy field surrounded trees,puppy jumps catch ball
2,dog leaps air grassy field surrounded trees,dog grassy field filled trees
0,dog leaps air grassy field surrounded trees,dog sleeping grassy field surrounded trees
0,man large power drill standing next daughter vacuum cleaner hose,man girl painting walls
2,man large power drill standing next daughter vacuum cleaner hose,man holding drill stands next girl holding vacuum hose
1,man large power drill standing next daughter vacuum cleaner hose,man girl home maintenance
1,three girls standing together room one listening one writing wall third talking,girls classmates
0,three girls standing together room one listening one writing wall third talking,girls outdoors
2,three girls standing together room one listening one writing wall third talking,girls indoors
2,three children dressed winter clothes walking woods pushing cargo along,three children dressed warm winter clothes
0,three children dressed winter clothes walking woods pushing cargo along,three childre dressed summer clothes
2,three children dressed winter clothes walking woods pushing cargo along,three children dressed winter clothes
0,man sitting outside wearing blue pants,person inside
2,man sitting outside wearing blue pants,person wearing pants
1,man sitting outside wearing blue pants,person ground
2,woman looking mirror brushing hair,woman brushing hair
1,woman looking mirror brushing hair,getting ready night
0,woman looking mirror brushing hair,woman taking shower
0,two players wet field one ground,people standing
2,two players wet field one ground,people field
2,two players wet field one ground,two people field
0,little baby dirty fingers smudges face points blue eye,baby points green eye
1,little baby dirty fingers smudges face points blue eye,baby playing mud
2,little baby dirty fingers smudges face points blue eye,baby dirty
1,couple sitting white lawn chairs smiling camera,man woman pose engagement photos
2,couple sitting white lawn chairs smiling camera,two people posing photograph
0,couple sitting white lawn chairs smiling camera,woman standing alone
2,five people sitting horses rodeo,group people sitting horses
0,five people sitting horses rodeo,bandits sitting horses prepare robbery
1,five people sitting horses rodeo,group cowboys sitting horses
0,nine women white robes hoods walk plush green grass,woman alone asleep bedroom
1,nine women white robes hoods walk plush green grass,women wearing flip flops
2,nine women white robes hoods walk plush green grass,women one head
2,man blue shirt lab looking microscope,man looking microscope lab
1,man blue shirt lab looking microscope,man job lab
0,man blue shirt lab looking microscope,man sleeping park bench
0,indian man walks past temple way pray,man fell swimming pool
2,indian man walks past temple way pray,man heading house worship
2,indian man walks past temple way pray,indian way worship
0,masked actors perform traditional japanese theater,one person present
2,masked actors perform traditional japanese theater,multiple people present
1,masked actors perform traditional japanese theater,japan
0,man green celtic sleeveless jersey shirt short stone washed jean shorts sitting eating,man wearing cowboys jersey
1,man green celtic sleeveless jersey shirt short stone washed jean shorts sitting eating,man celtics fan
2,man green celtic sleeveless jersey shirt short stone washed jean shorts sitting eating,man meal
0,middleaged mans shaving beard room white walls nt look like bathroom,man sleeps
2,middleaged mans shaving beard room white walls nt look like bathroom,man shaving
1,middleaged mans shaving beard room white walls nt look like bathroom,man getting ready work
