similarity,sentence1,sentence2
neutral,High fashion ladies wait outside a tram beside a crowd of people in the city.,The women enjoy having a good fashion sense.
neutral,"A man, woman, and child enjoying themselves on a beach.","A child with mom and dad, on summer vacation at the beach."
entailment,"A man, woman, and child enjoying themselves on a beach.",A family of three is at the beach.
contradiction,"A man, woman, and child enjoying themselves on a beach.",A family of three is at the mall shopping.
neutral,People waiting to get on a train or just getting off.,The people waiting on the train are sitting.
entailment,People waiting to get on a train or just getting off.,There are people just getting on a train
entailment,People waiting to get on a train or just getting off.,There are people waiting on a train.
entailment,A couple playing with a little boy on the beach.,A couple are playing with a young child outside.
neutral,A couple playing with a little boy on the beach.,A couple are playing frisbee with a young child at the beach.
contradiction,A couple playing with a little boy on the beach.,A couple watch a little girl play by herself on the beach.
contradiction,A couple play in the tide with their young son.,The family is sitting down for dinner.
entailment,A couple play in the tide with their young son.,The family is outside.
neutral,A couple play in the tide with their young son.,The family is on vacation.
contradiction,A man and a woman cross the street in front of a pizza and gyro restaurant.,The people are standing still on the curb.
entailment,A man and a woman cross the street in front of a pizza and gyro restaurant.,"Near a couple of restaurants, two people walk across the street."
neutral,A man and a woman cross the street in front of a pizza and gyro restaurant.,The couple are walking across the street together.
contradiction,A woman in a green jacket and hood over her head looking towards a valley.,The woman is nake.
neutral,A woman in a green jacket and hood over her head looking towards a valley.,The woman is cold.
entailment,A woman in a green jacket and hood over her head looking towards a valley.,The woman is wearing green.
neutral,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The man with the sign is caucasian.
contradiction,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are protesting outside the capital.
entailment,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman in white.
entailment,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man is advertising for a restaurant.
contradiction,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing black.
neutral,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man and a woman walk down a crowded city street.
entailment,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing white.
neutral,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are working for John's Pizza.
contradiction,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,Olympic swimming.
contradiction,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man and a soman are eating together at John's Pizza and Gyro.
entailment,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are walking with a sign.
neutral,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is waiting for a friend.
contradiction,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The man is sitting down while he has a sign for John's Pizza and Gyro in his arms.
entailment,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman and man are outdoors.
neutral,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman ordering pizza.
neutral,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The people are related.
contradiction,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults run across the street to get away from a red shirted person chasing them.
entailment,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The adults are both male and female.
neutral,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people walk home after a tasty steak dinner.
contradiction,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults swimming in water
entailment,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across a street.
contradiction,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people ride bicycles into a tunnel.
entailment,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people walk away from a restaurant across a street.
neutral,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walking across a road near the convicted prisoner dressed in red
neutral,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two friends cross a street.
contradiction,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Some people board a train.
entailment,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across the street.
entailment,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walking across a road
contradiction,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",There are no women in the picture.
neutral,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across the street to get away from a red shirted person who is chasing them.
contradiction,"A woman wearing all white and eating, walks next to a man holding a briefcase.",A married couple is sleeping.
entailment,"A woman wearing all white and eating, walks next to a man holding a briefcase.",A female is next to a man.
neutral,"A woman wearing all white and eating, walks next to a man holding a briefcase.",A married couple is walking next to each other.
contradiction,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",Nobody has food.
entailment,"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman eats a banana and walks across a street, and there is a man trailing behind her."
contradiction,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The woman and man are playing baseball together.
neutral,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",two coworkers cross pathes on a street
contradiction,"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman eats ice cream walking down the sidewalk, and there is another woman in front of her with a purse."
neutral,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The mans briefcase is for work.
entailment,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",A person eating.
neutral,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",A person that is hungry.
neutral,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",An actress and her favorite assistant talk a walk in the city.
entailment,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",a woman eating a banana crosses a street
neutral,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is a seductress
contradiction,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",a woman sits for lunch
contradiction,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is having coffee at the cafe
entailment,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The woman is eating a banana.
entailment,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is outside
neutral,A skier slides along a metal rail.,A skier is near the rail looking down.
entailment,A skier slides along a metal rail.,A skier is near the rail.
contradiction,A skier slides along a metal rail.,A skier is away from the rail.
contradiction,A person on skis on a rail at night.,The woman eats a car
entailment,A person on skis on a rail at night.,The person skiis
neutral,A person on skis on a rail at night.,They are fantastic skiiers
neutral,A skier in electric green on the edge of a ramp made of metal bars.,The skier was on the edge of the ramp.
entailment,A skier in electric green on the edge of a ramp made of metal bars.,The brightly dressed skier slid down the race course.
contradiction,A skier in electric green on the edge of a ramp made of metal bars.,The jogger ran through the streets.
contradiction,A yellow uniformed skier is performing a trick across a railed object.,A snowboarder is riding a ski lift.
neutral,A yellow uniformed skier is performing a trick across a railed object.,A skier is competing in a competition.
entailment,A yellow uniformed skier is performing a trick across a railed object.,Somebody is engaging in winter sports.
entailment,A blond man is drinking from a public fountain.,The man is drinking water.
neutral,A blond man is drinking from a public fountain.,The man is very thirsty.
contradiction,A blond man is drinking from a public fountain.,The man is drinking coffee.
contradiction,Wet brown dog swims towards camera.,The dog is sleeping in his bed.
neutral,Wet brown dog swims towards camera.,A dog is playing fetch in a pond.
entailment,Wet brown dog swims towards camera.,A dog is in the water.
contradiction,Closeup image of a dog swimming.,A cat reluctantly takes a bath.
neutral,Closeup image of a dog swimming.,An underwater camera takes a photo of a puppy.
entailment,Closeup image of a dog swimming.,A dog swims in a body of water.
neutral,The furry brown dog is swimming in the ocean.,A dog is chasing a fish.
entailment,The furry brown dog is swimming in the ocean.,A dog is swimming.
contradiction,The furry brown dog is swimming in the ocean.,A dog is running around the yard.
contradiction,A big brown dog swims towards the camera.,A dog is chasing a stick.
neutral,A big brown dog swims towards the camera.,A photographer is taking pictures of a dog.
entailment,A big brown dog swims towards the camera.,A dog swims towards the camera.
neutral,"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The farmer wearing a gray hat is driving a horse-drawn cart.
entailment,"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The man with the gray hat and pitchfork is directing the cart.
contradiction,"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The woman in a blue dress is hitching a horse to a cart.
entailment,"A man is leading a Clydesdale up a hay road, within a Old Country.",A man is walking with his horse up a country road.
contradiction,"A man is leading a Clydesdale up a hay road, within a Old Country.",A woman in a gray business suit is drinking tea.
neutral,"A man is leading a Clydesdale up a hay road, within a Old Country.",A man in a straw hat and overalls is walking with his horse up a country road.
entailment,A farmer fertilizing his garden with manure with a horse and wagon.,The man is fertilizering his garden.
contradiction,A farmer fertilizing his garden with manure with a horse and wagon.,The man is on the city street with his horse and wagon.
neutral,A farmer fertilizing his garden with manure with a horse and wagon.,The man is in an open field with a horse and wagon.
neutral,A white horse is pulling a cart while a man stands and watches.,A horse is hauling goods.
entailment,A white horse is pulling a cart while a man stands and watches.,An animal is walking outside.
contradiction,A white horse is pulling a cart while a man stands and watches.,A man is watching a horse race.
entailment,A small group of church-goers watch a choir practice.,A group watches a practice.
-,A small group of church-goers watch a choir practice.,A choir performs in front of packed crowd.
neutral,A small group of church-goers watch a choir practice.,The pastor and elders watch the choir to make sure they are good.
contradiction,A dog drops a red disc on a beach.,a dog catch the ball on a beach
neutral,A dog drops a red disc on a beach.,a dog drops a disc with a boy
entailment,A dog drops a red disc on a beach.,a dog drops a red disc
neutral,A man and a woman are walking on a street at the top of a hill.,A married couple walks atop a hill.
entailment,A man and a woman are walking on a street at the top of a hill.,A man and woman walk on a street.
contradiction,A man and a woman are walking on a street at the top of a hill.,Two men play catch on a hill.
contradiction,An elderly man is drinking orange juice at a cafe.,An elderly man is drinking apple juice at a bar.
neutral,An elderly man is drinking orange juice at a cafe.,An older gentleman is enjoying his orange juice at a new cafe.
entailment,An elderly man is drinking orange juice at a cafe.,An old man is enjoying a beverage at a cafe.
neutral,A couple holding hands walks down a street.,Two men hold hands while walking down the street.
contradiction,A couple holding hands walks down a street.,There are people sitting on the side of the road.
entailment,A couple holding hands walks down a street.,People are holding hands and walking.
entailment,A couple walk through a white brick town.,People are walking outdoors.
contradiction,A couple walk through a white brick town.,A man and woman walk in a brown brick city.
neutral,A couple walk through a white brick town.,A man and woman walk through a big city.
contradiction,Children going home from school.,The children are at the library.
entailment,Children going home from school.,The school children head home.
neutral,Children going home from school.,The children are walking in the afternooon.
contradiction,People listening to a choir in a Catholic church.,People are listening to a metal band.
entailment,People listening to a choir in a Catholic church.,Choir singing in mass.
neutral,People listening to a choir in a Catholic church.,People are in mass for a first communion
contradiction,Bicyclists waiting at an intersection.,A bicyclist is sitting down having lunch at the mall.
entailment,Bicyclists waiting at an intersection.,The bicyclists are outside.
neutral,Bicyclists waiting at an intersection.,Bicyclists waiting for a car to pass.
neutral,Bicyclists waiting at an intersection.,A person on a bike is waiting while the light is green.
entailment,Bicyclists waiting at an intersection.,The bicycles are on a road.
entailment,Bicyclists waiting at an intersection.,A person on a bike is near a street.
entailment,Bicyclists waiting at an intersection.,Bikers stop and wait for traffic at the intersection.
contradiction,Bicyclists waiting at an intersection.,The bicyclists ride through the mall on their bikes.
entailment,Bicyclists waiting at an intersection.,Bicyclists waiting their turn to cross.
contradiction,Bicyclists waiting at an intersection.,Bicyclists riding along a freeway.
contradiction,Bicyclists waiting at an intersection.,The bicyclists are dead.
neutral,Bicyclists waiting at an intersection.,The bicyclists are riding to the book store.
neutral,Bicyclists waiting at an intersection.,The bicyclists are in a race.
contradiction,Bicyclists waiting at an intersection.,The bicyclists are at home.
neutral,Bicyclists waiting at an intersection.,A group of bicyclists remain on the sidewalk at the intersection.
contradiction,People waiting at a light on bikes.,A bunch of friends are on a boat
entailment,People waiting at a light on bikes.,People with bikes.
neutral,People waiting at a light on bikes.,There are people on bikes at a light
contradiction,People waiting at a light on bikes.,The people are inside waiting.
entailment,People waiting at a light on bikes.,There are some people outside.
entailment,People waiting at a light on bikes.,People are on their bikes.
neutral,People waiting at a light on bikes.,The people are riding their bikes to the gym.
neutral,People waiting at a light on bikes.,People biking through the city.
entailment,People waiting at a light on bikes.,The people are on bikes.
neutral,People waiting at a light on bikes.,There is traffic next to the bikes.
contradiction,People waiting at a light on bikes.,The people are running a red light.
contradiction,People waiting at a light on bikes.,People in a car race.
entailment,People waiting at a light on bikes.,Men and women outside on a street corner.
contradiction,People waiting at a light on bikes.,A ladybug has landed on a beautiful pink rose.
neutral,People waiting at a light on bikes.,"Men and women on their motorcycles, wearing helmets and protective jackets."
contradiction,People on bicycles waiting at an intersection.,The people are on skateboards.
entailment,People on bicycles waiting at an intersection.,People are riding their bicycles.
neutral,People on bicycles waiting at an intersection.,There is a bike race happening right now.
neutral,People on bicycles waiting at an intersection.,People on bicycles enjoy a conversation waiting for traffic.
neutral,People on bicycles waiting at an intersection.,The people are trying to get to the convenience store across the street.
entailment,People on bicycles waiting at an intersection.,People wait on traffic.
neutral,People on bicycles waiting at an intersection.,Some people on bikes are stopped at a junction.
contradiction,People on bicycles waiting at an intersection.,People are waiting on foot.
entailment,People on bicycles waiting at an intersection.,There are bicyclists stopped at a road.
contradiction,People on bicycles waiting at an intersection.,The people are sleeping.
contradiction,People on bicycles waiting at an intersection.,The people are waiting for the movie to begin.
entailment,People on bicycles waiting at an intersection.,More than one person on a bicycle is obeying traffic laws.
neutral,People on bicycles waiting at an intersection.,People are on mountain bikes.
entailment,People on bicycles waiting at an intersection.,There are people on bicycles.
contradiction,People on bicycles waiting at an intersection.,People on bicycles speed through an intersection.
contradiction,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The cart is empty.
contradiction,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man is giving another man a piggyback ride.
entailment,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A cart is full of items.
contradiction,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man is sleeping under a bench.
entailment,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man watches another man.
neutral,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A produce vendor is watched by a health department worker.
entailment,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,"Someone is on top of a cart full of items, while someone else observes."
contradiction,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The man is watching a woman.
neutral,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A merchant and his assistant are trying to determine how many products are in their cart.
neutral,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The cart is full of coal.
entailment,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man is standing on top of a cart.
entailment,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The cart is filled to the top.
neutral,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The men are outside.
contradiction,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man eats octopus.
neutral,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man is standing on a cart full of groceries.
entailment,A boy is drinking out of a water fountain shaped like a woman.,A male is getting a drink of water.
neutral,A boy is drinking out of a water fountain shaped like a woman.,A sculptor takes a drink from a fountain that he made that looks like his girlfriend.
contradiction,A boy is drinking out of a water fountain shaped like a woman.,A man is drinking lemonade from a glass.
neutral,three bikers stop in town.,cars stop in town
entailment,three bikers stop in town.,Bikers stop in towns
entailment,three bikers stop in town.,A town has witnessed the arrival of three bikers.
neutral,three bikers stop in town.,Thoes bikers are slowing down
neutral,three bikers stop in town.,The bikers are riding Harley's.
contradiction,three bikers stop in town.,Three bikers are going 100 mph
contradiction,three bikers stop in town.,The bikers breathe water
entailment,three bikers stop in town.,Bikers stop for gas
neutral,three bikers stop in town.,Three bicyclists are riding in a pack.
contradiction,three bikers stop in town.,There is a very angry dog.
neutral,three bikers stop in town.,Three bikers are taking a rest in the town.
entailment,three bikers stop in town.,The bikers are in the town.
entailment,three bikers stop in town.,A group of bikers are in the street.
contradiction,three bikers stop in town.,The bikers didn't stop in the town.
contradiction,three bikers stop in town.,Five bikers are riding on the road.
contradiction,Two people loading brush on a trailer attached to a truck.,A man is carrying a canoe to the water.
entailment,Two people loading brush on a trailer attached to a truck.,A couple of people are loading brush onto a trailer that is attached to a truck.
neutral,Two people loading brush on a trailer attached to a truck.,Two people loading brush on a trailer attached to a truck so they can go camping and burn it.
entailment,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",a bearded man pulls a rope
neutral,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A bearded man is pulling a rope at work.
entailment,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man pulls on a rope.
neutral,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",The man was on the job trying to move some equipment.
contradiction,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",a man pulls his beard
contradiction,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",a bearded man is pulling a car with his teeth.
neutral,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",a man competes in a rope pulling contest
neutral,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man is trying to pull his car out of a lake
contradiction,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",The man was clean shaven.
entailment,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A bearded man is pulling on a rope.
neutral,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man is dragging a sled behind him.
contradiction,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.","A man in a swimsuit, swings on a rope."
contradiction,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man is wearing a black shirt
entailment,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man is pulling on a rope.
entailment,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",The man is able to grow a beard.
contradiction,A man with facial hair and a red and gray shirt tugging on a piece of rope.,A man is naked on the bed.
neutral,A man with facial hair and a red and gray shirt tugging on a piece of rope.,A man is wearing a red and gray shirt.
entailment,A man with facial hair and a red and gray shirt tugging on a piece of rope.,A man has facial hair.
contradiction,A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.,The middle aged oriental woman is watchingt v
entailment,A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.,A middle aged oriental woman in a green headscarf and blue shirt is flashing a giant smile
neutral,A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.,The middle aged oriental woman is very happy
neutral,An Asian woman in a blue top and green headscarf smiling widely as another woman rows a boat in the background.,An Asian woman is happy because she found money on the ground.
entailment,An Asian woman in a blue top and green headscarf smiling widely as another woman rows a boat in the background.,An Asian woman is smiling at while another lady is rowing.
contradiction,An Asian woman in a blue top and green headscarf smiling widely as another woman rows a boat in the background.,An Asian woman is running from a dog.
entailment,A boat worker securing line.,A worker is doing something to a boat.
contradiction,A boat worker securing line.,The boat worker is swimming in the ocean.
neutral,A boat worker securing line.,The boat worker works hard to establish the line.
neutral,A small girl with a necklace is swimming.,A small girl with a necklace is swimming in a pool
contradiction,A small girl with a necklace is swimming.,A fat girl is diving off the edge
entailment,A small girl with a necklace is swimming.,A small girl with a necklace is in the water
contradiction,a skateboarder skates in the pool.,A skate swims in the pool.
entailment,a skateboarder skates in the pool.,A skater is in the pool.
neutral,a skateboarder skates in the pool.,A skater grinds on the lip of the pool.
contradiction,"A couple, who appear to be Indian or Pakistani, walk on a path beside a body of water, the mother carrying a child in a diaper, the father wrapped in a blanket with the logo of the humanitarian organization ""Save the Children.""",A man is wrapped in a UNICEF blanket.
entailment,"A couple, who appear to be Indian or Pakistani, walk on a path beside a body of water, the mother carrying a child in a diaper, the father wrapped in a blanket with the logo of the humanitarian organization ""Save the Children.""",A couple carrying a child are walking along water.
neutral,"A couple, who appear to be Indian or Pakistani, walk on a path beside a body of water, the mother carrying a child in a diaper, the father wrapped in a blanket with the logo of the humanitarian organization ""Save the Children.""",An Indian couple is seeking refuge with a humanitarian organization.
entailment,"There is a woman holding a baby, along with a man with a save the children bag.",A group of people are possing for an add.
neutral,"There is a woman holding a baby, along with a man with a save the children bag.",A man and a woman are hoding their son.
contradiction,"There is a woman holding a baby, along with a man with a save the children bag.",A man is watching an airplane.
contradiction,"A family with a baby, the father is wearing a save the children sign.",Three adults are pictured.
entailment,"A family with a baby, the father is wearing a save the children sign.",A man is wearing something with writing on it.
neutral,"A family with a baby, the father is wearing a save the children sign.",A woman is holding a baby.
contradiction,A foreign family is walking along a dirt path next to the water.,they are riding a bike
neutral,A foreign family is walking along a dirt path next to the water.,People are walking next to a lake.
neutral,A foreign family is walking along a dirt path next to the water.,A foreigner group of cousins hike along a trail next to a stream.
entailment,A foreign family is walking along a dirt path next to the water.,A foreign family walks by a dirt trail along a body of water.
entailment,A foreign family is walking along a dirt path next to the water.,The family is admiring the water
contradiction,A foreign family is walking along a dirt path next to the water.,The people are driving a car on the freeway.
contradiction,A foreign family is walking along a dirt path next to the water.,A family of foreigners swims in the water.
neutral,A foreign family is walking along a dirt path next to the water.,they are trying not to fall in the water
contradiction,A foreign family is walking along a dirt path next to the water.,A group of locals run on a dirt trail next to a frozen stream.
entailment,A foreign family is walking along a dirt path next to the water.,A family of foreigners walks by the water.
entailment,A foreign family is walking along a dirt path next to the water.,A family walks along a dirt path.
contradiction,A foreign family is walking along a dirt path next to the water.,A family plays board games at their dinner table.
entailment,A foreign family is walking along a dirt path next to the water.,There is a family taking a walk outside.
neutral,A foreign family is walking along a dirt path next to the water.,A family walks along a dirt path in a forest by a pond.
neutral,A foreign family is walking along a dirt path next to the water.,A family of foreigners walks by the lake.
entailment,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",People are looking at sculptures at a museum.
entailment,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",There are people next to sculptures.
neutral,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",A man and a woman are happily standing.
entailment,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",People standing near sculptures
contradiction,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",Three people are looking at painting at a school fair.
contradiction,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",Nobody is standing.
neutral,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",The sculptures are a recent creation.
entailment,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",A man and a woman are standing.
neutral,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",Tall people standing
contradiction,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",The is a single sculpture.
contradiction,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",The man and woman are standing by a swimming pool.
neutral,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",People are looking at scultures that were made by a famous artist.
neutral,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",There are sculptures of people.
entailment,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",There are scultupres nearby.
contradiction,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",A man and a woman are sitting.
neutral,Group of young women in dresses strolling on the sidewalk.,all the women are well dressed
contradiction,Group of young women in dresses strolling on the sidewalk.,all the young girls won the first prize
