similarity,sentence1,sentence2
1,two adults one female white shades one male gray clothes walking across street away eatery blurred image dark colored red shirted person foreground,people related
0,two adults one female white shades one male gray clothes walking across street away eatery blurred image dark colored red shirted person foreground,two adults run across street get away red shirted person chasing
2,two adults one female white shades one male gray clothes walking across street away eatery blurred image dark colored red shirted person foreground,adults male female
1,two adults one female white shades one male gray clothes walking across street away eatery blurred image dark colored red shirted person foreground,two people walk home tasty steak dinner
0,two adults one female white shades one male gray clothes walking across street away eatery blurred image dark colored red shirted person foreground,two adults swimming water
2,two adults one female white shades one male gray clothes walking across street away eatery blurred image dark colored red shirted person foreground,two adults walk across street
0,two adults one female white shades one male gray clothes walking across street away eatery blurred image dark colored red shirted person foreground,two people ride bicycles tunnel
2,two adults one female white shades one male gray clothes walking across street away eatery blurred image dark colored red shirted person foreground,two people walk away restaurant across street
1,two adults one female white shades one male gray clothes walking across street away eatery blurred image dark colored red shirted person foreground,two adults walking across road near convicted prisoner dressed red
1,two adults one female white shades one male gray clothes walking across street away eatery blurred image dark colored red shirted person foreground,two friends cross street
0,two adults one female white shades one male gray clothes walking across street away eatery blurred image dark colored red shirted person foreground,people board train
2,two adults one female white shades one male gray clothes walking across street away eatery blurred image dark colored red shirted person foreground,two adults walk across street
2,two adults one female white shades one male gray clothes walking across street away eatery blurred image dark colored red shirted person foreground,two adults walking across road
0,two adults one female white shades one male gray clothes walking across street away eatery blurred image dark colored red shirted person foreground,women picture
1,two adults one female white shades one male gray clothes walking across street away eatery blurred image dark colored red shirted person foreground,two adults walk across street get away red shirted person chasing
0,woman wearing white eating walks next man holding briefcase,married couple sleeping
2,woman wearing white eating walks next man holding briefcase,female next man
1,woman wearing white eating walks next man holding briefcase,married couple walking next
0,woman walking across street eating banana man following briefcase,nobody food
2,woman walking across street eating banana man following briefcase,woman eats banana walks across street man trailing behind
0,woman walking across street eating banana man following briefcase,woman man playing baseball together
1,woman walking across street eating banana man following briefcase,two coworkers cross pathes street
0,woman walking across street eating banana man following briefcase,woman eats ice cream walking sidewalk another woman front purse
1,woman walking across street eating banana man following briefcase,mans briefcase work
2,woman walking across street eating banana man following briefcase,person eating
1,woman walking across street eating banana man following briefcase,person hungry
1,woman walking across street eating banana man following briefcase,actress favorite assistant talk walk city
2,woman walking across street eating banana man following briefcase,woman eating banana crosses street
1,woman walking across street eating banana man following briefcase,woman seductress
0,woman walking across street eating banana man following briefcase,woman sits lunch
0,woman walking across street eating banana man following briefcase,woman coffee cafe
2,woman walking across street eating banana man following briefcase,woman eating banana
2,woman walking across street eating banana man following briefcase,woman outside
1,skier slides along metal rail,skier near rail looking
2,skier slides along metal rail,skier near rail
0,skier slides along metal rail,skier away rail
0,person skis rail night,woman eats car
2,person skis rail night,person skiis
1,person skis rail night,fantastic skiiers
1,skier electric green edge ramp made metal bars,skier edge ramp
2,skier electric green edge ramp made metal bars,brightly dressed skier slid race course
0,skier electric green edge ramp made metal bars,jogger ran streets
0,yellow uniformed skier performing trick across railed object,snowboarder riding ski lift
1,yellow uniformed skier performing trick across railed object,skier competing competition
2,yellow uniformed skier performing trick across railed object,somebody engaging winter sports
2,blond man drinking public fountain,man drinking water
1,blond man drinking public fountain,man thirsty
0,blond man drinking public fountain,man drinking coffee
0,wet brown dog swims towards camera,dog sleeping bed
1,wet brown dog swims towards camera,dog playing fetch pond
2,wet brown dog swims towards camera,dog water
0,closeup image dog swimming,cat reluctantly takes bath
1,closeup image dog swimming,underwater camera takes photo puppy
2,closeup image dog swimming,dog swims body water
1,furry brown dog swimming ocean,dog chasing fish
2,furry brown dog swimming ocean,dog swimming
0,furry brown dog swimming ocean,dog running around yard
0,big brown dog swims towards camera,dog chasing stick
1,big brown dog swims towards camera,photographer taking pictures dog
2,big brown dog swims towards camera,dog swims towards camera
1,man wearing black gray hat holding pitchfork directs horsedrawn cart,farmer wearing gray hat driving horsedrawn cart
2,man wearing black gray hat holding pitchfork directs horsedrawn cart,man gray hat pitchfork directing cart
0,man wearing black gray hat holding pitchfork directs horsedrawn cart,woman blue dress hitching horse cart
2,man leading clydesdale hay road within old country,man walking horse country road
0,man leading clydesdale hay road within old country,woman gray business suit drinking tea
1,man leading clydesdale hay road within old country,man straw hat overalls walking horse country road
2,farmer fertilizing garden manure horse wagon,man fertilizering garden
0,farmer fertilizing garden manure horse wagon,man city street horse wagon
1,farmer fertilizing garden manure horse wagon,man open field horse wagon
1,white horse pulling cart man stands watches,horse hauling goods
2,white horse pulling cart man stands watches,animal walking outside
0,white horse pulling cart man stands watches,man watching horse race
2,small group churchgoers watch choir practice,group watches practice
1,small group churchgoers watch choir practice,pastor elders watch choir make sure good
0,dog drops red disc beach,dog catch ball beach
1,dog drops red disc beach,dog drops disc boy
2,dog drops red disc beach,dog drops red disc
1,man woman walking street top hill,married couple walks atop hill
2,man woman walking street top hill,man woman walk street
0,man woman walking street top hill,two men play catch hill
0,elderly man drinking orange juice cafe,elderly man drinking apple juice bar
1,elderly man drinking orange juice cafe,older gentleman enjoying orange juice new cafe
2,elderly man drinking orange juice cafe,old man enjoying beverage cafe
1,couple holding hands walks street,two men hold hands walking street
0,couple holding hands walks street,people sitting side road
2,couple holding hands walks street,people holding hands walking
2,couple walk white brick town,people walking outdoors
0,couple walk white brick town,man woman walk brown brick city
1,couple walk white brick town,man woman walk big city
0,children going home school,children library
2,children going home school,school children head home
1,children going home school,children walking afternooon
0,people listening choir catholic church,people listening metal band
2,people listening choir catholic church,choir singing mass
1,people listening choir catholic church,people mass first communion
0,bicyclists waiting intersection,bicyclist sitting lunch mall
2,bicyclists waiting intersection,bicyclists outside
1,bicyclists waiting intersection,bicyclists waiting car pass
1,bicyclists waiting intersection,person bike waiting light green
2,bicyclists waiting intersection,bicycles road
2,bicyclists waiting intersection,person bike near street
2,bicyclists waiting intersection,bikers stop wait traffic intersection
0,bicyclists waiting intersection,bicyclists ride mall bikes
2,bicyclists waiting intersection,bicyclists waiting turn cross
0,bicyclists waiting intersection,bicyclists riding along freeway
0,bicyclists waiting intersection,bicyclists dead
1,bicyclists waiting intersection,bicyclists riding book store
1,bicyclists waiting intersection,bicyclists race
0,bicyclists waiting intersection,bicyclists home
1,bicyclists waiting intersection,group bicyclists remain sidewalk intersection
0,people waiting light bikes,bunch friends boat
2,people waiting light bikes,people bikes
1,people waiting light bikes,people bikes light
0,people waiting light bikes,people inside waiting
2,people waiting light bikes,people outside
2,people waiting light bikes,people bikes
1,people waiting light bikes,people riding bikes gym
1,people waiting light bikes,people biking city
2,people waiting light bikes,people bikes
1,people waiting light bikes,traffic next bikes
0,people waiting light bikes,people running red light
0,people waiting light bikes,people car race
2,people waiting light bikes,men women outside street corner
0,people waiting light bikes,ladybug landed beautiful pink rose
1,people waiting light bikes,men women motorcycles wearing helmets protective jackets
0,people bicycles waiting intersection,people skateboards
2,people bicycles waiting intersection,people riding bicycles
1,people bicycles waiting intersection,bike race happening right
1,people bicycles waiting intersection,people bicycles enjoy conversation waiting traffic
1,people bicycles waiting intersection,people trying get convenience store across street
2,people bicycles waiting intersection,people wait traffic
1,people bicycles waiting intersection,people bikes stopped junction
0,people bicycles waiting intersection,people waiting foot
2,people bicycles waiting intersection,bicyclists stopped road
0,people bicycles waiting intersection,people sleeping
0,people bicycles waiting intersection,people waiting movie begin
2,people bicycles waiting intersection,one person bicycle obeying traffic laws
1,people bicycles waiting intersection,people mountain bikes
2,people bicycles waiting intersection,people bicycles
0,people bicycles waiting intersection,people bicycles speed intersection
0,man red shirt watching another man standing top attached cart filled top,cart empty
0,man red shirt watching another man standing top attached cart filled top,man giving another man piggyback ride
2,man red shirt watching another man standing top attached cart filled top,cart full items
0,man red shirt watching another man standing top attached cart filled top,man sleeping bench
2,man red shirt watching another man standing top attached cart filled top,man watches another man
1,man red shirt watching another man standing top attached cart filled top,produce vendor watched health department worker
2,man red shirt watching another man standing top attached cart filled top,someone top cart full items someone else observes
0,man red shirt watching another man standing top attached cart filled top,man watching woman
1,man red shirt watching another man standing top attached cart filled top,merchant assistant trying determine many products cart
1,man red shirt watching another man standing top attached cart filled top,cart full coal
2,man red shirt watching another man standing top attached cart filled top,man standing top cart
2,man red shirt watching another man standing top attached cart filled top,cart filled top
1,man red shirt watching another man standing top attached cart filled top,men outside
0,man red shirt watching another man standing top attached cart filled top,man eats octopus
1,man red shirt watching another man standing top attached cart filled top,man standing cart full groceries
2,boy drinking water fountain shaped like woman,male getting drink water
1,boy drinking water fountain shaped like woman,sculptor takes drink fountain made looks like girlfriend
0,boy drinking water fountain shaped like woman,man drinking lemonade glass
1,three bikers stop town,cars stop town
2,three bikers stop town,bikers stop towns
2,three bikers stop town,town witnessed arrival three bikers
1,three bikers stop town,thoes bikers slowing
1,three bikers stop town,bikers riding harleys
0,three bikers stop town,three bikers going 100 mph
0,three bikers stop town,bikers breathe water
2,three bikers stop town,bikers stop gas
1,three bikers stop town,three bicyclists riding pack
0,three bikers stop town,angry dog
1,three bikers stop town,three bikers taking rest town
2,three bikers stop town,bikers town
2,three bikers stop town,group bikers street
0,three bikers stop town,bikers didnt stop town
0,three bikers stop town,five bikers riding road
0,two people loading brush trailer attached truck,man carrying canoe water
2,two people loading brush trailer attached truck,couple people loading brush onto trailer attached truck
1,two people loading brush trailer attached truck,two people loading brush trailer attached truck go camping burn
2,man beard wearing red shirt gray sleeves work gloves pulling rope,bearded man pulls rope
1,man beard wearing red shirt gray sleeves work gloves pulling rope,bearded man pulling rope work
2,man beard wearing red shirt gray sleeves work gloves pulling rope,man pulls rope
1,man beard wearing red shirt gray sleeves work gloves pulling rope,man job trying move equipment
0,man beard wearing red shirt gray sleeves work gloves pulling rope,man pulls beard
0,man beard wearing red shirt gray sleeves work gloves pulling rope,bearded man pulling car teeth
1,man beard wearing red shirt gray sleeves work gloves pulling rope,man competes rope pulling contest
1,man beard wearing red shirt gray sleeves work gloves pulling rope,man trying pull car lake
0,man beard wearing red shirt gray sleeves work gloves pulling rope,man clean shaven
2,man beard wearing red shirt gray sleeves work gloves pulling rope,bearded man pulling rope
1,man beard wearing red shirt gray sleeves work gloves pulling rope,man dragging sled behind
0,man beard wearing red shirt gray sleeves work gloves pulling rope,man swimsuit swings rope
0,man beard wearing red shirt gray sleeves work gloves pulling rope,man wearing black shirt
2,man beard wearing red shirt gray sleeves work gloves pulling rope,man pulling rope
2,man beard wearing red shirt gray sleeves work gloves pulling rope,man able grow beard
0,man facial hair red gray shirt tugging piece rope,man naked bed
1,man facial hair red gray shirt tugging piece rope,man wearing red gray shirt
2,man facial hair red gray shirt tugging piece rope,man facial hair
0,middleaged oriental woman green headscarf blue shirt flashing giant smile,middle aged oriental woman watchingt v
2,middleaged oriental woman green headscarf blue shirt flashing giant smile,middle aged oriental woman green headscarf blue shirt flashing giant smile
1,middleaged oriental woman green headscarf blue shirt flashing giant smile,middle aged oriental woman happy
1,asian woman blue top green headscarf smiling widely another woman rows boat background,asian woman happy found money ground
2,asian woman blue top green headscarf smiling widely another woman rows boat background,asian woman smiling another lady rowing
0,asian woman blue top green headscarf smiling widely another woman rows boat background,asian woman running dog
2,boat worker securing line,worker something boat
0,boat worker securing line,boat worker swimming ocean
1,boat worker securing line,boat worker works hard establish line
1,small girl necklace swimming,small girl necklace swimming pool
0,small girl necklace swimming,fat girl diving edge
2,small girl necklace swimming,small girl necklace water
0,skateboarder skates pool,skate swims pool
2,skateboarder skates pool,skater pool
1,skateboarder skates pool,skater grinds lip pool
0,couple appear indian pakistani walk path beside body water mother carrying child diaper father wrapped blanket logo humanitarian organization save children,man wrapped unicef blanket
2,couple appear indian pakistani walk path beside body water mother carrying child diaper father wrapped blanket logo humanitarian organization save children,couple carrying child walking along water
1,couple appear indian pakistani walk path beside body water mother carrying child diaper father wrapped blanket logo humanitarian organization save children,indian couple seeking refuge humanitarian organization
2,woman holding baby along man save children bag,group people possing add
1,woman holding baby along man save children bag,man woman hoding son
0,woman holding baby along man save children bag,man watching airplane
0,family baby father wearing save children sign,three adults pictured
2,family baby father wearing save children sign,man wearing something writing
1,family baby father wearing save children sign,woman holding baby
0,foreign family walking along dirt path next water,riding bike
1,foreign family walking along dirt path next water,people walking next lake
1,foreign family walking along dirt path next water,foreigner group cousins hike along trail next stream
2,foreign family walking along dirt path next water,foreign family walks dirt trail along body water
2,foreign family walking along dirt path next water,family admiring water
0,foreign family walking along dirt path next water,people driving car freeway
0,foreign family walking along dirt path next water,family foreigners swims water
1,foreign family walking along dirt path next water,trying fall water
0,foreign family walking along dirt path next water,group locals run dirt trail next frozen stream
2,foreign family walking along dirt path next water,family foreigners walks water
2,foreign family walking along dirt path next water,family walks along dirt path
0,foreign family walking along dirt path next water,family plays board games dinner table
2,foreign family walking along dirt path next water,family taking walk outside
1,foreign family walking along dirt path next water,family walks along dirt path forest pond
1,foreign family walking along dirt path next water,family foreigners walks lake
2,man woman standing next sculptures talking another man looks sculptures,people looking sculptures museum
2,man woman standing next sculptures talking another man looks sculptures,people next sculptures
1,man woman standing next sculptures talking another man looks sculptures,man woman happily standing
2,man woman standing next sculptures talking another man looks sculptures,people standing near sculptures
0,man woman standing next sculptures talking another man looks sculptures,three people looking painting school fair
0,man woman standing next sculptures talking another man looks sculptures,nobody standing
1,man woman standing next sculptures talking another man looks sculptures,sculptures recent creation
2,man woman standing next sculptures talking another man looks sculptures,man woman standing
1,man woman standing next sculptures talking another man looks sculptures,tall people standing
0,man woman standing next sculptures talking another man looks sculptures,single sculpture
0,man woman standing next sculptures talking another man looks sculptures,man woman standing swimming pool
1,man woman standing next sculptures talking another man looks sculptures,people looking scultures made famous artist
1,man woman standing next sculptures talking another man looks sculptures,sculptures people
2,man woman standing next sculptures talking another man looks sculptures,scultupres nearby
0,man woman standing next sculptures talking another man looks sculptures,man woman sitting
1,group young women dresses strolling sidewalk,women well dressed
0,group young women dresses strolling sidewalk,young girls first prize
2,group young women dresses strolling sidewalk,groups one young females dresses strolling ramp walk
2,man wearing striped top jeans skateboard trick steps man hunched photographs,man photographing man skateboarding
0,man wearing striped top jeans skateboard trick steps man hunched photographs,man riding scooter alone
1,man wearing striped top jeans skateboard trick steps man hunched photographs,tony hawks manager photographing tony hawk skateboarding
0,man squatting foreground photograph taking photograph man skateboarding kick flip midair short flight stairs outdoors,man taking picture skateboarder taken aliens
0,man squatting foreground photograph taking photograph man skateboarding kick flip midair short flight stairs outdoors,photographers capture male skateboarder performing tricks inside abandoned building
0,man squatting foreground photograph taking photograph man skateboarding kick flip midair short flight stairs outdoors,woman skateboarding boyfriend
2,man squatting foreground photograph taking photograph man skateboarding kick flip midair short flight stairs outdoors,man taking picture skateboarder performing trick
0,man squatting foreground photograph taking photograph man skateboarding kick flip midair short flight stairs outdoors,man photographs wedding
1,man squatting foreground photograph taking photograph man skateboarding kick flip midair short flight stairs outdoors,man taking photos son tricks skateboard
1,man squatting foreground photograph taking photograph man skateboarding kick flip midair short flight stairs outdoors,man photographs tony hawk skateboarding
2,man squatting foreground photograph taking photograph man skateboarding kick flip midair short flight stairs outdoors,man taking photos skateboarding tricks
2,man squatting foreground photograph taking photograph man skateboarding kick flip midair short flight stairs outdoors,people take photos outdoors man performs exciting skateboarding tricks
2,man squatting foreground photograph taking photograph man skateboarding kick flip midair short flight stairs outdoors,man photographing another man
1,man squatting foreground photograph taking photograph man skateboarding kick flip midair short flight stairs outdoors,pro photographer taking pictures pro skater
0,man squatting foreground photograph taking photograph man skateboarding kick flip midair short flight stairs outdoors,two men going water slide
2,man squatting foreground photograph taking photograph man skateboarding kick flip midair short flight stairs outdoors,man photographs skateboarder tricks
1,man squatting foreground photograph taking photograph man skateboarding kick flip midair short flight stairs outdoors,man tries get perfect picture skateboarder magazine
1,man squatting foreground photograph taking photograph man skateboarding kick flip midair short flight stairs outdoors,male skateboarder performs tricks outdoors professional photographers
0,one biker running bike another riding around,people driving cars
1,one biker running bike another riding around,people part club
2,one biker running bike another riding around,people bikes
0,two people bicycles one front running bike one back riding,two people eating ice cream cones mall
1,two people bicycles one front running bike one back riding,two people taking bikes trail
2,two people bicycles one front running bike one back riding,one person running next bike person riding bike behind
0,young man trick skateboard stairs photographed,young man roller blades across ramp photographed
1,young man trick skateboard stairs photographed,helmetless young man trick skateboard photographed
2,young man trick skateboard stairs photographed,man photographed trick skateboard stairs
1,lady black white striped shirt holding bouquet flowers looks seriously two gentlemen talking steps,lady propose boyfriend
2,lady black white striped shirt holding bouquet flowers looks seriously two gentlemen talking steps,lady serious face standing two guys front steps outside
0,lady black white striped shirt holding bouquet flowers looks seriously two gentlemen talking steps,three guys standing indoors flowers hands
0,man walking proudly street,man theatre watching avatar
1,man walking proudly street,man part gay pride parade
2,man walking proudly street,man outside
1,four teenage boys cannonballs swimming pool,four friends competition see throws water pool
2,four teenage boys cannonballs swimming pool,group young men splashing lot water
0,four teenage boys cannonballs swimming pool,boys eating pizza restaurant
1,three men standing grass water looking something table,three men lake
2,three men standing grass water looking something table,three men outside
0,three men standing grass water looking something table,three men indoors playing foosball
1,woman stands behind outdoor grill blue basket food hands,woman holding blue basket full food family cookout
2,woman stands behind outdoor grill blue basket food hands,woman standing behind grill outside blue basket food hands
0,woman stands behind outdoor grill blue basket food hands,woman holding blue basket full easter eggs outside church
1,land rover makes way deep pond,car gets stuck water
0,land rover makes way deep pond,car shop
2,land rover makes way deep pond,car drives water
2,many people relax yard,group people outside
1,many people relax yard,family enjoys sunny day backyard
0,many people relax yard,people watch tv living room
2,car sinking water,car flooding
1,car sinking water,car crashed large lake
0,car sinking water,truck drives country road sunshine
2,man wearing black playing electric guitar concert,man playing guitar
1,man wearing black playing electric guitar concert,man singing plays guitar
0,man wearing black playing electric guitar concert,man playing piano
0,man wild hair rocks show playing guitar center stage,bald man played drums
2,man wild hair rocks show playing guitar center stage,guy stands stage guitar
1,man wild hair rocks show playing guitar center stage,one crazy looking man plays show
1,woman child trolley car labeled powell market bay taylor,woman carrying child
2,woman child trolley car labeled powell market bay taylor,woman trolley
0,woman child trolley car labeled powell market bay taylor,woman child subway train
1,two female medical professionals one african american one white looking paperwork hospital,coworkers monthly safety meeting
0,two female medical professionals one african american one white looking paperwork hospital,coworkers left work driving lunch
2,two female medical professionals one african american one white looking paperwork hospital,people work
1,two ladies reading binders,two ladies studying final exam
0,two ladies reading binders,girls watching movie
2,two ladies reading binders,women reading
1,man distance walking past brick wall painted words graffiti,man walks away wall defaced
0,man distance walking past brick wall painted words graffiti,man sits reads graffiti wall
2,man distance walking past brick wall painted words graffiti,grafffiti brick wall
0,woman child holding railing trolley,people holding onto anything
2,woman child holding railing trolley,people holding onto rail
1,woman child holding railing trolley,people trolley san francisco
0,man striped polo shirt pointing smiling,man swimming
1,man striped polo shirt pointing smiling,man outside
2,man striped polo shirt pointing smiling,man seems happy
1,guy performing bicycle jump trick audience,bmx pro triple backflip
0,guy performing bicycle jump trick audience,tony hawk performing skating trick
2,guy performing bicycle jump trick audience,guy performing bike trick
2,grayhaired woman blue dress coat snowflakes balances something head,woman wearing coat
0,grayhaired woman blue dress coat snowflakes balances something head,woman loves blonde hair
1,grayhaired woman blue dress coat snowflakes balances something head,woman guarding snow
1,two children play outside field,brother sister chase field
2,two children play outside field,kids playing outdoors
0,two children play outside field,two children reading desks
0,one man sits inside plays banjo trees behind outside,man runs outside
2,one man sits inside plays banjo trees behind outside,male sitting indoors
1,one man sits inside plays banjo trees behind outside,male plays banjo sitting sofa
0,two children colorful outfits playing field big rock middle,dont play rocks
2,two children colorful outfits playing field big rock middle,two kids playing big rock field
1,two children colorful outfits playing field big rock middle,two kids playing big rock field family
1,two young girls playing outside nonurban environment,girls running open field
2,two young girls playing outside nonurban environment,two girls playing outside
0,two young girls playing outside nonurban environment,girls running sidewalk next parked cars
0,two children hats play open rocky field,children home eating lunch
2,two children hats play open rocky field,children playing rocky field
1,two children hats play open rocky field,children playing catch
1,woman wearing green pink dress dancing someone wearing blue top white pants,dancing woman grass
2,woman wearing green pink dress dancing someone wearing blue top white pants,woman green pink dancing
0,woman wearing green pink dress dancing someone wearing blue top white pants,dancing woman alone bedroom
2,man gold pants looking camera,man looking camera
1,man gold pants looking camera,man looking something
0,man gold pants looking camera,man walking away hall
2,man gold skirt sits front computer,man gold skirt sitting computer watching computer screen
1,man gold skirt sits front computer,man golf skirt sitting computer typing friends online
0,man gold skirt sits front computer,man blue pants sitting watching television
2,man wearing black tshirt sitting computer desk,man working computer
0,man wearing black tshirt sitting computer desk,man called work zoo day
1,man wearing black tshirt sitting computer desk,man project work
0,bearded man black tshirt sits front desk holding computer,man standing rain
2,bearded man black tshirt sits front desk holding computer,man waiting computer
1,bearded man black tshirt sits front desk holding computer,man buying new laptop
2,man gold foils skirt sitting computer desk looks camera hands raised face,man looking webcam
1,man gold foils skirt sitting computer desk looks camera hands raised face,covering face
0,man gold foils skirt sitting computer desk looks camera hands raised face,man sticking tongue
2,young girl sitting table bowl head,young girl bowl head
1,young girl sitting table bowl head,toddler dumped bowl spaghetti head
0,young girl sitting table bowl head,man eating cereal car
1,man dances fire baton night,crowd cheers peforms
0,man dances fire baton night,woman hula dance
2,man dances fire baton night,man dancing
2,doctor checks stomach toddler,toddler getting checkup
0,doctor checks stomach toddler,doctor looking inside toddlers mouth
1,doctor checks stomach toddler,toddle might sick
1,young blond woman putting foot water fountain,young woman wearing evening gown holding shoes hands dipping one foot buckingham fountain chicago
0,young blond woman putting foot water fountain,young blond woman sitting beach chair
2,young blond woman putting foot water fountain,person dipping foot water
0,young woman tries stick foot fountain,woman riding train
2,young woman tries stick foot fountain,woman near fountain
2,young woman tries stick foot fountain,woman one foot air
0,woman capri jeans crouches edge fountain left foot kicked touch falling water,woman walking park
1,woman capri jeans crouches edge fountain left foot kicked touch falling water,woman eager touch water
2,woman capri jeans crouches edge fountain left foot kicked touch falling water,woman like touch water fountain
2,woman balancing edge fountain sticking toe water,woman stand fountain dips toes
0,woman balancing edge fountain sticking toe water,woman sits grassy ground
1,woman balancing edge fountain sticking toe water,old woman stands fountain sticks toes
2,couple strolls arm arm hand hand city sidewalk,couple outdoors
1,couple strolls arm arm hand hand city sidewalk,couple married
0,couple strolls arm arm hand hand city sidewalk,couple dinner restaurant
2,man stare passing couple walking block,man stares passing couple
1,man stare passing couple walking block,man jealous couple
0,man stare passing couple walking block,woman stares couple argue block
1,couple holding hands behind backs walking street man arm around shoulder,couple walking home
2,couple holding hands behind backs walking street man arm around shoulder,couple walking
0,couple holding hands behind backs walking street man arm around shoulder,bear zoo
0,man woman holding hands walk along city sidewalk,married couple fighting sidewalk
1,man woman holding hands walk along city sidewalk,married couple holding hands walk along city sidewalk
2,man woman holding hands walk along city sidewalk,man woman holding hands
0,man red stands child beach,man wearing blue sleeping child lap inside home
1,man red stands child beach,man wearing red standing child beach overlooking ocean
1,man red stands child beach,man wearing red standing child watch others build sand castles beach
2,new sport played show appreciation kids walk,people playing sport honor crippled people
0,new sport played show appreciation kids walk,people playing football without gear
1,new sport played show appreciation kids walk,people playing sport help fund crippled people fund
1,two men wheelchairs reaching air basketball,two sad men wheelchairs reaching air basketball
2,two men wheelchairs reaching air basketball,two people wheelchairs reaching air basketball
0,two men wheelchairs reaching air basketball,two women wheelchairs reaching air basketball
1,three wheelchair basketball players wearing team uniforms attempting reach descending basketball players background,wheelchair basketball players playing basketball match
2,three wheelchair basketball players wearing team uniforms attempting reach descending basketball players background,three wheelchair basketball players playing basketball field
0,three wheelchair basketball players wearing team uniforms attempting reach descending basketball players background,peoples taking coffee together coffeshop
0,four guys wheelchairs basketball court two trying grab basketball midair,four guys playing cards
2,four guys wheelchairs basketball court two trying grab basketball midair,four guys playing basketball
1,four guys wheelchairs basketball court two trying grab basketball midair,four players handicapped
0,three dogs different shades brown white biting licking,dogs fighting
